Rank,NOC,Gold,Silver,Bronze,Total,Year
1,USA,40,44,42,126,2024
2,CHN,40,27,24,91,2024
3,JPN,20,12,13,45,2024
4,AUS,18,19,16,53,2024
5,FRA,16,26,22,64,2024
6,NED,15,7,12,34,2024
7,GBR,14,22,29,65,2024
8,KOR,13,9,10,32,2024
9,ITA,12,13,15,40,2024
10,GER,12,13,8,33,2024
11,NZL,10,7,3,20,2024
12,CAN,9,7,11,27,2024
13,UZB,8,2,3,13,2024
14,HUN,6,7,6,19,2024
15,ESP,5,4,9,18,2024
16,SWE,4,4,3,11,2024
17,KEN,4,2,5,11,2024
18,NOR,4,1,3,8,2024
19,IRL,4,0,3,7,2024
20,BRA,3,7,10,20,2024
21,IRI,3,6,3,12,2024
22,UKR,3,5,4,12,2024
23,ROU,3,4,2,9,2024
24,GEO,3,3,1,7,2024
25,BEL,3,1,6,10,2024
26,BUL,3,1,3,7,2024
27,SRB,3,1,1,5,2024
28,CZE,3,0,2,5,2024
29,DEN,2,2,5,9,2024
30,AZE,2,2,3,7,2024
30,CRO,2,2,3,7,2024
32,CUB,2,1,6,9,2024
33,BRN,2,1,1,4,2024
34,SVN,2,1,0,3,2024
35,TPE,2,0,5,7,2024
36,AUT,2,0,3,5,2024
37,CHK,2,0,2,4,2024
37,PHI,2,0,2,4,2024
39,ALG,2,0,1,3,2024
39,INA,2,0,1,3,2024
41,ISR,1,5,1,7,2024
42,POL,1,4,5,10,2024
43,KAZ,1,3,3,7,2024
44,JAM,1,3,2,6,2024
44,RSA,1,3,2,6,2024
44,THA,1,3,2,6,2024
47,ETH,1,3,0,4,2024
48,CHE,1,2,5,8,2024
49,ECU,1,2,2,5,2024
50,PRT,1,2,1,4,2024
51,GRE,1,1,6,8,2024
52,ARG,1,1,1,3,2024
52,EGY,1,1,1,3,2024
52,TUN,1,1,1,3,2024
55,BOT,1,1,0,2,2024
55,CHI,1,1,0,2,2024
55,LCA,1,1,0,2,2024
55,UGA,1,1,0,2,2024
59,DOM,1,0,2,3,2024
60,GUA,1,0,1,2,2024
60,MAR,1,0,1,2,2024
62,DMA,1,0,0,1,2024
62,PAK,1,0,0,1,2024
64,TUR,0,3,5,8,2024
65,MEX,0,3,2,5,2024
66,ARM,0,3,1,4,2024
66,COL,0,3,1,4,2024
68,KGZ,0,2,4,6,2024
68,NKA,0,2,4,6,2024
70,LTU,0,2,2,4,2024
71,IND,0,1,5,6,2024
72,MLA,0,1,3,4,2024
73,KOS,0,1,1,2,2024
74,CYP,0,1,0,1,2024
74,FIJ,0,1,0,1,2024
74,JOR,0,1,0,1,2024
74,MGL,0,1,0,1,2024
74,PAN,0,1,0,1,2024
79,TJK,0,0,3,3,2024
80,ALB,0,0,2,2,2024
80,GRN,0,0,2,2,2024
80,MAS,0,0,2,2,2024
80,PPO,0,0,2,2,2024
84,CPV,0,0,1,1,2024
84,ICT,0,0,1,1,2024
84,PER,0,0,1,1,2024
84,QAT,0,0,1,1,2024
84,EOR,0,0,1,1,2024
84,SGP,0,0,1,1,2024
84,SVK,0,0,1,1,2024
84,ZMB,0,0,1,1,2024
1,USA,39,41,33,113,2020
2,CHN,38,32,19,89,2020
3,JPN,27,14,17,58,2020
4,GBR,22,20,22,64,2020
5,AIN,20,28,23,71,2020
6,AUS,17,7,22,46,2020
7,NED,10,12,14,36,2020
8,FRA,10,12,11,33,2020
9,GER,10,11,16,37,2020
10,ITA,10,10,20,40,2020
11,CAN,7,7,10,24,2020
12,BRA,7,6,8,21,2020
13,NZL,7,6,7,20,2020
14,CUB,7,3,5,15,2020
15,HUN,6,7,7,20,2020
16,KOR,6,4,10,20,2020
17,POL,4,5,5,14,2020
18,CZE,4,4,3,11,2020
19,KEN,4,4,2,10,2020
20,NOR,4,2,2,8,2020
21,JAM,4,1,4,9,2020
22,ESP,3,8,6,17,2020
23,SWE,3,6,0,9,2020
24,CHE,3,4,6,13,2020
25,DEN,3,4,4,11,2020
26,CRO,3,3,2,8,2020
27,IRI,3,2,2,7,2020
28,SRB,3,1,5,9,2020
29,BEL,3,1,3,7,2020
30,BUL,3,1,2,6,2020
31,SVN,3,1,1,5,2020
32,UZB,3,0,2,5,2020
33,GEO,2,5,1,8,2020
34,TPE,2,4,6,12,2020
35,TUR,2,2,9,13,2020
36,GRE,2,1,1,4,2020
36,UGA,2,1,1,4,2020
38,ECU,2,1,0,3,2020
39,IRL,2,0,2,4,2020
39,ISR,2,0,2,4,2020
41,QAT,2,0,1,3,2020
42,BAH,2,0,0,2,2020
42,KOS,2,0,0,2,2020
44,UKR,1,6,12,19,2020
45,AIN,1,3,3,7,2020
46,ROU,1,3,0,4,2020
46,VEN,1,3,0,4,2020
48,IND,1,2,4,7,2020
49,CHK,1,2,3,6,2020
50,PHI,1,2,1,4,2020
50,SVK,1,2,1,4,2020
52,RSA,1,2,0,3,2020
53,AUT,1,1,5,7,2020
54,EGY,1,1,4,6,2020
55,INA,1,1,3,5,2020
56,ETH,1,1,2,4,2020
56,PRT,1,1,2,4,2020
58,TUN,1,1,0,2,2020
59,EST,1,0,1,2,2020
59,FIJ,1,0,1,2,2020
59,LAT,1,0,1,2,2020
59,THA,1,0,1,2,2020
63,BER,1,0,0,1,2020
63,MAR,1,0,0,1,2020
63,PPO,1,0,0,1,2020
66,COL,0,4,1,5,2020
67,AZE,0,3,4,7,2020
68,DOM,0,3,2,5,2020
69,ARM,0,2,2,4,2020
70,KGZ,0,2,1,3,2020
71,MGL,0,1,3,4,2020
72,ARG,0,1,2,3,2020
72,SMR,0,1,2,3,2020
74,JOR,0,1,1,2,2020
74,MAS,0,1,1,2,2020
74,NGA,0,1,1,2,2020
77,BRN,0,1,0,1,2020
77,LTU,0,1,0,1,2020
77,NAM,0,1,0,1,2020
77,MKD,0,1,0,1,2020
77,KSA,0,1,0,1,2020
77,TKM,0,1,0,1,2020
83,KAZ,0,0,8,8,2020
84,MEX,0,0,4,4,2020
85,FIN,0,0,2,2,2020
86,BOT,0,0,1,1,2020
86,BUR,0,0,1,1,2020
86,GHA,0,0,1,1,2020
86,GRN,0,0,1,1,2020
86,ICT,0,0,1,1,2020
86,KUW,0,0,1,1,2020
86,MLA,0,0,1,1,2020
39,BWI,0,0,2,2,1960
1,USA,46,37,38,121,2016
2,GBR,27,23,17,67,2016
3,CHN,26,18,26,70,2016
30,ARG,0,1,1,2,1960
5,GER,17,10,15,42,2016
6,JPN,12,8,21,41,2016
7,FRA,10,18,14,42,2016
8,KOR,9,3,9,21,2016
9,ITA,8,12,8,28,2016
10,AUS,8,11,10,29,2016
11,NED,8,7,4,19,2016
12,HUN,8,3,4,15,2016
13,BRA,7,6,6,19,2016
14,ESP,7,4,6,17,2016
15,KEN,6,6,1,13,2016
16,JAM,6,3,2,11,2016
17,CRO,5,3,2,10,2016
18,CUB,5,2,4,11,2016
19,NZL,4,9,5,18,2016
20,CAN,4,3,15,22,2016
21,UZB,4,2,7,13,2016
22,COL,3,2,3,8,2016
23,CHE,3,2,2,7,2016
24,IRI,3,1,4,8,2016
25,GRE,3,1,2,6,2016
26,ARG,3,1,0,4,2016
27,DEN,2,6,7,15,2016
28,SWE,2,6,3,11,2016
29,RSA,2,6,2,10,2016
30,KAZ,2,5,10,17,2016
31,UKR,2,5,4,11,2016
32,SRB,2,4,2,8,2016
33,POL,2,3,6,11,2016
34,NKA,2,3,2,7,2016
35,BEL,2,2,2,6,2016
35,THA,2,2,2,6,2016
37,SVK,2,2,0,4,2016
38,GEO,2,1,4,7,2016
39,AZE,1,7,10,18,2016
40,AIN,1,4,4,9,2016
41,TUR,1,3,4,8,2016
42,ARM,1,3,0,4,2016
43,CZE,1,2,7,10,2016
44,ETH,1,2,5,8,2016
45,SVN,1,2,1,4,2016
46,INA,1,2,0,3,2016
47,ROU,1,1,2,4,2016
48,BRN,1,1,0,2,2016
5,AUS,8,8,6,22,1960
50,TPE,1,0,2,3,2016
51,BAH,1,0,1,2,2016
39,BRA,0,0,2,2,1960
51,ICT,1,0,1,2,2016
54,FIJ,1,0,0,1,2016
54,JOR,1,0,0,1,2016
54,KOS,1,0,0,1,2016
54,PPO,1,0,0,1,2016
54,SGP,1,0,0,1,2016
54,TJK,1,0,0,1,2016
60,MAS,0,4,1,5,2016
61,MEX,0,3,2,5,2016
62,VEN,0,2,1,3,2016
63,ALG,0,2,0,2,2016
63,IRL,0,2,0,2,2016
65,LTU,0,1,3,4,2016
66,BUL,0,1,2,3,2016
67,IND,0,1,1,2,2016
67,MGL,0,1,1,2,2016
69,BDI,0,1,0,1,2016
69,GRN,0,1,0,1,2016
69,NER,0,1,0,1,2016
69,PHI,0,1,0,1,2016
69,QAT,0,1,0,1,2016
74,NOR,0,0,4,4,2016
75,EGY,0,0,3,3,2016
75,TUN,0,0,3,3,2016
77,ISR,0,0,2,2,2016
78,AUT,0,0,1,1,2016
78,DOM,0,0,1,1,2016
78,EST,0,0,1,1,2016
78,FIN,0,0,1,1,2016
78,MAR,0,0,1,1,2016
78,NGA,0,0,1,1,2016
78,PRT,0,0,1,1,2016
78,TTO,0,0,1,1,2016
78,UAE,0,0,1,1,2016
1,USA,48,26,30,104,2012
2,CHN,39,31,22,92,2012
3,GBR,29,18,18,65,2012
15,CZE,4,2,1,7,1992
5,KOR,13,9,9,31,2012
6,GER,11,20,13,44,2012
7,FRA,11,11,13,35,2012
8,AUS,8,15,12,35,2012
9,ITA,8,9,11,28,2012
10,HUN,8,4,6,18,2012
11,JPN,7,14,17,38,2012
12,IRI,7,5,1,13,2012
13,NED,6,6,8,20,2012
14,NZL,6,2,5,13,2012
15,UKR,5,4,10,19,2012
16,CUB,5,3,7,15,2012
17,ESP,4,10,6,20,2012
18,JAM,4,5,4,13,2012
19,CZE,4,4,3,11,2012
20,RSA,4,1,1,6,2012
21,NKA,4,0,2,6,2012
22,BRA,3,5,9,17,2012
23,KAZ,3,2,6,11,2012
23,POL,3,2,6,11,2012
25,ETH,3,2,3,8,2012
26,CRO,3,1,2,6,2012
27,CAN,2,6,10,18,2012
28,AIN,2,5,3,10,2012
29,KEN,2,4,7,13,2012
30,DEN,2,4,3,9,2012
31,ROU,2,4,1,7,2012
32,AZE,2,2,5,9,2012
33,CHE,2,2,0,4,2012
34,NOR,2,1,1,4,2012
35,LTU,2,0,3,5,2012
36,TUN,2,0,1,3,2012
37,SWE,1,4,3,8,2012
38,COL,1,3,5,9,2012
39,MEX,1,3,4,8,2012
40,GEO,1,2,3,6,2012
41,IRL,1,1,4,6,2012
42,ARG,1,1,2,4,2012
42,SRB,1,1,2,4,2012
42,SVN,1,1,2,4,2012
42,TTO,1,1,2,4,2012
46,TUR,1,1,1,3,2012
47,DOM,1,1,0,2,2012
48,TPE,1,0,1,2,2012
48,LAT,1,0,1,2,2012
50,ALG,1,0,0,1,2012
50,BAH,1,0,0,1,2012
50,BRN,1,0,0,1,2012
50,GRN,1,0,0,1,2012
50,UGA,1,0,0,1,2012
50,VEN,1,0,0,1,2012
56,EGY,0,3,1,4,2012
57,IND,0,2,4,6,2012
58,MGL,0,2,3,5,2012
59,THA,0,2,2,4,2012
60,BUL,0,2,1,3,2012
60,FIN,0,2,1,3,2012
60,INA,0,2,1,3,2012
63,SVK,0,1,3,4,2012
64,BEL,0,1,2,3,2012
65,ARM,0,1,1,2,2012
65,EST,0,1,1,2,2012
65,MAS,0,1,1,2,2012
65,PPO,0,1,1,2,2012
65,QAT,0,1,1,2,2012
70,BOT,0,1,0,1,2012
70,CYP,0,1,0,1,2012
70,GAB,0,1,0,1,2012
70,GUA,0,1,0,1,2012
70,MNE,0,1,0,1,2012
70,PRT,0,1,0,1,2012
76,UZB,0,0,3,3,2012
77,GRE,0,0,2,2,2012
77,SGP,0,0,2,2,2012
79,AFG,0,0,1,1,2012
79,CMR,0,0,1,1,2012
79,CHK,0,0,1,1,2012
79,KUW,0,0,1,1,2012
79,MAR,0,0,1,1,2012
79,KSA,0,0,1,1,2012
79,TJK,0,0,1,1,2012
15,BUL,1,3,3,7,1960
1,CHN,48,22,30,100,2008
2,USA,36,39,37,112,2008
32,CAN,0,1,0,1,1960
4,GBR,19,13,19,51,2008
5,GER,16,11,14,41,2008
6,AUS,14,15,17,46,2008
7,KOR,13,11,8,32,2008
8,JPN,9,8,8,25,2008
9,ITA,8,9,10,27,2008
10,FRA,7,16,20,43,2008
11,NED,7,5,4,16,2008
12,UKR,7,4,11,22,2008
13,KEN,6,4,6,16,2008
14,ESP,5,11,3,19,2008
15,JAM,5,4,2,11,2008
16,POL,4,5,2,11,2008
17,ETH,4,2,1,7,2008
18,ROU,4,1,4,9,2008
19,CUB,3,10,17,30,2008
20,CAN,3,9,8,20,2008
21,HUN,3,5,2,10,2008
22,NOR,3,5,1,9,2008
23,BRA,3,4,10,17,2008
24,AIN,3,4,7,14,2008
25,CZE,3,3,1,7,2008
26,SVK,3,3,0,6,2008
27,NZL,3,2,4,9,2008
28,GEO,3,2,2,7,2008
29,KAZ,2,3,4,9,2008
30,DEN,2,2,3,7,2008
31,NKA,2,2,2,6,2008
31,THA,2,2,2,6,2008
33,MGL,2,2,0,4,2008
34,CHE,2,1,4,7,2008
35,ARG,2,0,4,6,2008
36,MEX,2,0,2,4,2008
37,BEL,2,0,0,2,2008
38,ZWE,1,3,0,4,2008
39,SVN,1,2,2,5,2008
40,AZE,1,1,4,6,2008
40,INA,1,1,4,6,2008
42,BUL,1,1,3,5,2008
42,TUR,1,1,3,5,2008
44,TPE,1,1,2,4,2008
44,FIN,1,1,2,4,2008
46,LAT,1,1,1,3,2008
47,DOM,1,1,0,2,2008
47,EST,1,1,0,2,2008
47,PRT,1,1,0,2,2008
47,TTO,1,1,0,2,2008
51,IND,1,0,2,3,2008
52,IRI,1,0,1,2,2008
53,CMR,1,0,0,1,2008
53,PAN,1,0,0,1,2008
53,TUN,1,0,0,1,2008
56,SWE,0,4,1,5,2008
57,LTU,0,3,2,5,2008
57,NGA,0,3,2,5,2008
59,CRO,0,2,3,5,2008
60,COL,0,2,1,3,2008
60,GRE,0,2,1,3,2008
62,ARM,0,1,4,5,2008
63,UZB,0,1,3,4,2008
64,AUT,0,1,2,3,2008
64,IRL,0,1,2,3,2008
64,KGZ,0,1,2,3,2008
64,SRB,0,1,2,3,2008
68,ALG,0,1,1,2,2008
68,BAH,0,1,1,2,2008
68,MAR,0,1,1,2,2008
68,TJK,0,1,1,2,2008
72,CHI,0,1,0,1,2008
72,ECU,0,1,0,1,2008
72,ISL,0,1,0,1,2008
72,MAS,0,1,0,1,2008
72,WSM,0,1,0,1,2008
72,SGP,0,1,0,1,2008
72,RSA,0,1,0,1,2008
72,SDN,0,1,0,1,2008
17,CZE,3,3,2,8,1988
81,EGY,0,0,2,2,2008
82,AFG,0,0,1,1,2008
82,ISR,0,0,1,1,2008
82,MUS,0,0,1,1,2008
82,MLA,0,0,1,1,2008
82,TOG,0,0,1,1,2008
82,VEN,0,0,1,1,2008
1,USA,36,39,26,101,2004
2,CHN,32,17,14,63,2004
17,CZE,2,2,4,8,1976
4,AUS,17,16,17,50,2004
5,JPN,16,9,12,37,2004
6,GER,13,16,20,49,2004
7,FRA,11,9,13,33,2004
8,ITA,10,11,11,32,2004
9,KOR,9,12,9,30,2004
10,GBR,9,9,12,30,2004
11,CUB,9,7,11,27,2004
12,HUN,8,6,3,17,2004
13,UKR,8,5,9,22,2004
14,ROU,8,5,6,19,2004
15,GRE,6,6,4,16,2004
16,BRA,5,2,3,10,2004
17,NOR,5,0,1,6,2004
18,NED,4,9,9,22,2004
19,SWE,4,2,1,7,2004
20,ESP,3,11,6,20,2004
21,CAN,3,6,3,12,2004
22,TUR,3,3,4,10,2004
23,POL,3,2,5,10,2004
24,NZL,3,2,0,5,2004
25,THA,3,1,4,8,2004
26,AIN,2,5,6,13,2004
27,AUT,2,4,1,7,2004
28,ETH,2,3,2,7,2004
29,IRI,2,2,2,6,2004
29,SVK,2,2,2,6,2004
31,TPE,2,2,1,5,2004
32,GEO,2,2,0,4,2004
33,BUL,2,1,9,12,2004
34,DEN,2,1,5,8,2004
35,JAM,2,1,2,5,2004
35,UZB,2,1,2,5,2004
37,MAR,2,1,0,3,2004
38,ARG,2,0,4,6,2004
39,CHI,2,0,1,3,2004
40,KAZ,1,4,3,8,2004
41,KEN,1,4,2,7,2004
42,CZE,1,3,5,9,2004
43,RSA,1,3,2,6,2004
44,CRO,1,2,2,5,2004
45,LTU,1,2,0,3,2004
46,EGY,1,1,3,5,2004
46,CHE,1,1,3,5,2004
48,INA,1,1,2,4,2004
49,ZWE,1,1,1,3,2004
50,AZE,1,0,4,5,2004
51,BEL,1,0,2,3,2004
52,BAH,1,0,1,2,2004
52,ISR,1,0,1,2,2004
54,CMR,1,0,0,1,2004
54,DOM,1,0,0,1,2004
54,UAE,1,0,0,1,2004
57,NKA,0,4,1,5,2004
58,LAT,0,4,0,4,2004
59,MEX,0,3,1,4,2004
60,PRT,0,2,1,3,2004
61,FIN,0,2,0,2,2004
18,CZE,2,4,2,8,1972
63,SVN,0,1,3,4,2004
64,EST,0,1,2,3,2004
65,CHK,0,1,0,1,2004
65,IND,0,1,0,1,2004
65,PAR,0,1,0,1,2004
68,COL,0,0,2,2,2004
68,NGA,0,0,2,2,2004
68,VEN,0,0,2,2,2004
71,ERI,0,0,1,1,2004
71,MGL,0,0,1,1,2004
7,CZE,7,2,4,13,1968
71,TTO,0,0,1,1,2004
1,USA,37,24,32,93,2000
9,CZE,5,6,3,14,1964
3,CHN,28,16,14,58,2000
4,AUS,16,25,17,58,2000
5,GER,13,17,26,56,2000
6,FRA,13,14,11,38,2000
7,ITA,13,8,13,34,2000
8,NED,12,9,4,25,2000
9,CUB,11,11,7,29,2000
10,GBR,11,10,7,28,2000
11,ROU,11,6,9,26,2000
12,KOR,8,10,10,28,2000
13,HUN,8,6,3,17,2000
14,POL,6,5,3,14,2000
15,JPN,5,8,5,18,2000
16,BUL,5,6,2,13,2000
17,GRE,4,6,3,13,2000
18,SWE,4,5,3,12,2000
19,NOR,4,3,3,10,2000
