#,NOC,Gold_rate,Silver_rate,Bronze_rate,Gold,Silver,Bronze,Sum,Sum
1,USA,0.14907,0.125004,0.125055,49,41,41,131,131
2,CHN,0.122316,0.08046,0.066214,40,26,22,88,88
3,JPN,0.05662,0.036246,0.030481,19,12,10,41,41
4,GBR,0.055953,0.064689,0.065995,18,21,22,61,61
5,FRA,0.047141,0.061577,0.047985,16,20,16,52,52
6,AUS,0.046727,0.050393,0.040555,15,17,13,45,45
7,ITA,0.040351,0.040575,0.039039,13,13,13,39,39
8,GER,0.040928,0.037522,0.033271,13,12,11,36,36
9,NED,0.037732,0.022975,0.027513,12,8,9,29,29
10,KOR,0.035637,0.025879,0.025316,12,9,8,29,29
11,CAN,0.024123,0.019424,0.029096,8,6,10,24,24
12,HUN,0.023073,0.02563,0.017566,8,8,6,22,22
13,NZL,0.023688,0.017659,0.010232,8,6,3,17,17
14,BUL,0.018698,0.02155,0.016801,6,7,6,19,19
15,ESP,0.016641,0.015962,0.019277,5,5,6,16,16
16,CUB,0.015234,0.008139,0.017458,5,3,6,14,14
17,SWE,0.01392,0.01573,0.009984,5,5,3,13,13
18,UZB,0.015437,0.005616,0.012111,5,2,4,11,11
19,BRA,0.011661,0.016426,0.022434,4,5,7,16,16
20,POL,0.013004,0.011916,0.018611,4,4,6,14,14
21,KEN,0.0123,0.010663,0.013735,4,4,5,13,13
22,ROU,0.012919,0.016515,0.010093,4,5,3,12,12
23,UKR,0.009872,0.016828,0.018878,3,6,6,15,15
24,IRI,0.008022,0.011828,0.01034,3,4,3,10,10
25,DEN,0.007848,0.006172,0.01,3,2,3,8,8
26,GEO,0.008341,0.008088,0.005624,3,3,2,8,8
27,NOR,0.010071,0.004714,0.007549,3,2,2,7,7
28,CZE,0.008976,0.005157,0.006855,3,2,2,7,7
29,IRL,0.009098,0.003786,0.005905,3,1,2,6,6
30,SRB,0.007926,0.003564,0.00577,3,1,2,6,6
31,AZE,0.005732,0.008507,0.011188,2,3,4,9,9
32,AIN,0.007434,0.012158,0.009,2,4,3,9,9
33,BEL,0.006815,0.008242,0.012979,2,3,4,9,9
34,GRE,0.005318,0.005439,0.013606,2,2,4,8,8
35,JAM,0.006383,0.008126,0.005893,2,3,2,7,7
36,ETH,0.006529,0.006405,0.004667,2,2,2,6,6
37,CRO,0.007068,0.006509,0.006928,2,2,2,6,6
38,THA,0.005428,0.006196,0.006294,2,2,2,6,6
39,AUT,0.005272,0.003158,0.007294,2,1,2,5,5
40,TPE,0.004958,0.000836,0.008305,2,0,3,5,5
41,ALG,0.005005,0.001612,0.003531,2,1,1,4,4
42,INA,0.005277,0.001908,0.002431,2,1,1,4,4
43,KAZ,0.003958,0.007762,0.011146,1,3,4,8,8
44,TUR,0.002059,0.006773,0.010444,1,2,3,6,6
45,RSA,0.004443,0.008278,0.00684,1,3,2,6,6
46,ISR,0.003242,0.010653,0.00303,1,4,1,6,6
47,COL,0.003984,0.007307,0.005821,1,2,2,5,5
48,ECU,0.00211,0.00499,0.003723,1,2,1,4,4
49,EGY,0.002459,0.0026,0.002849,1,1,1,3,3
50,ARG,0.003466,0.002733,0.002243,1,1,1,3,3
51,BRN,0.003634,0.003475,0.001785,1,1,1,3,3
52,PHI,0.004246,0.001571,0.004471,1,1,1,3,3
53,DOM,0.003856,0.000498,0.004645,1,0,2,3,3
54,SVK,0.002274,0.003196,0.001728,1,1,1,3,3
55,BOT,0.002133,0.002878,0.001868,1,1,1,3,3
56,MAR,0.003035,0.000632,0.002317,1,0,1,2,2
57,UGA,0.002802,0.002555,0.000185,1,1,0,2,2
58,MGL,0.001871,0.003498,0.001278,1,1,0,2,2
59,LCA,0.001697,0.001523,0.000085,1,1,0,2,2
60,TUN,0.001534,0.001416,0.001251,1,0,0,1,1
61,BAH,0.002525,0.001221,0.000269,1,0,0,1,1
62,GUA,0.001533,0.001152,0.000585,1,0,0,1,1
63,MEX,0.000863,0.007918,0.005274,0,3,2,5,5
64,IND,0.001181,0.004748,0.010499,0,2,3,5,5
65,KGZ,0.000806,0.005558,0.009306,0,2,3,5,5
66,ARM,0.001109,0.007636,0.003412,0,3,1,4,4
67,LTU,0.000766,0.004493,0.003474,0,1,1,2,2
68,QAT,0.000265,0.000769,0.002077,0,0,1,1,1
69,TJK,0.000422,0.000367,0.004303,0,0,1,1,1
70,SUI,0.000491,0.003453,0.000712,0,1,0,1,1
71,PAN,0.00033,0.001706,0.000467,0,1,0,1,1
72,FIJ,0.000698,0.002141,0.000139,0,1,0,1,1
73,CPV,0.000498,0,0.00153,0,0,1,1,1
74,GRN,0.000163,0.000318,0.004108,0,0,1,1,1
75,FIN,0.000581,0.000784,0.001236,0,0,0,0,0
76,EST,0.000536,0.000191,0.000705,0,0,0,0,0
77,CHA,0.000008,0.000026,0.000036,0,0,0,0,0
78,SUD,0.000008,0.000026,0.000036,0,0,0,0,0
79,CMR,0.000305,0.000026,0.000187,0,0,0,0,0
80,CHI,0.001502,0.001464,0.000625,0,0,0,0,0
81,NCA,0.000008,0.000026,0.000036,0,0,0,0,0
82,NGR,0,0.000044,0,0,0,0,0,0
83,KUW,0.000008,0.000026,0.000557,0,0,0,0,0
84,PAK,0.001033,0.000196,0.000526,0,0,0,0,0
85,IRQ,0.000008,0.000026,0.000036,0,0,0,0,0
86,LBN,0.000008,0.000259,0.000036,0,0,0,0,0
87,MAS,0.000008,0.000359,0.000595,0,0,0,0,0
88,ERI,0.000008,0.000026,0.000036,0,0,0,0,0
89,TAN,0.000008,0.000026,0.000036,0,0,0,0,0
90,JOR,0.00026,0.000403,0.000217,0,0,0,0,0
91,LBA,0.000008,0.000026,0.000036,0,0,0,0,0
92,DJI,0.000008,0.000026,0.000036,0,0,0,0,0
93,PLE,0.000008,0.000026,0.000036,0,0,0,0,0
94,COM,0.000008,0.000026,0.000036,0,0,0,0,0
95,BRU,0.000008,0.000026,0.000036,0,0,0,0,0
96,KSA,0.000008,0.000403,0.000391,0,0,0,0,0
97,SYR,0.000101,0.000082,0.000589,0,0,0,0,0
98,MDV,0.000008,0.000026,0.000036,0,0,0,0,0
99,UAE,0.00025,0.000026,0.000252,0,0,0,0,0
100,SGP,0,0.00082,0.000722,0,0,0,0,0
101,CGO,0.000008,0.000026,0.000036,0,0,0,0,0
102,MON,0.000008,0.000026,0.000036,0,0,0,0,0
103,URU,0.000008,0.000026,0.000036,0,0,0,0,0
104,SRI,0.000008,0.000026,0.000036,0,0,0,0,0
105,CIV,0.000008,0.000026,0.000036,0,0,0,0,0
106,BEN,0.000008,0.000026,0.000036,0,0,0,0,0
107,GHA,0.000008,0.000026,0.000601,0,0,0,0,0
108,SOM,0.000008,0.000026,0.000036,0,0,0,0,0
109,NIG,0.000008,0.000026,0.000036,0,0,0,0,0
110,MLI,0.000008,0.000026,0.000036,0,0,0,0,0
111,AFG,0.000008,0.000026,0.000328,0,0,0,0,0
112,CRC,0.000232,0.000292,0.000036,0,0,0,0,0
113,SLO,0.000589,0.00022,0.001081,0,0,0,0,0
114,GUY,0.000008,0.000026,0.000036,0,0,0,0,0
115,POR,0.000065,0.000373,0.00024,0,0,0,0,0
116,PAR,0.000008,0.000187,0.000036,0,0,0,0,0
117,ANG,0.000008,0.000026,0.000036,0,0,0,0,0
118,VEN,0.000334,0.000934,0.00036,0,0,0,0,0
119,BAN,0.000008,0.000026,0.000036,0,0,0,0,0
120,PER,0.000033,0.000546,0.001009,0,0,0,0,0
121,ESA,0.000008,0.000026,0.000036,0,0,0,0,0
122,PUR,0.000083,0.000548,0.000661,0,0,0,0,0
123,HON,0.000008,0.000026,0.000036,0,0,0,0,0
124,TKM,0.000008,0.000289,0.000036,0,0,0,0,0
125,MRI,0.000008,0.000026,0.000036,0,0,0,0,0
126,SEY,0.000008,0.000026,0.000036,0,0,0,0,0
127,LUX,0.000008,0.000026,0.000036,0,0,0,0,0
128,MTN,0.000008,0.000026,0.000036,0,0,0,0,0
129,SKN,0.000008,0.000026,0.000036,0,0,0,0,0
130,TTO,0.000244,0,0.000191,0,0,0,0,0
131,VIN,0.000008,0.000026,0.000036,0,0,0,0,0
132,LBR,0.000008,0.000026,0.000036,0,0,0,0,0
133,SUR,0.000276,0.000026,0.000036,0,0,0,0,0
134,NEP,0.000008,0.000026,0.000036,0,0,0,0,0
135,PLW,0.000008,0.000026,0.000036,0,0,0,0,0
136,TOG,0.000008,0.000026,0.000208,0,0,0,0,0
137,NAM,0.000008,0.000313,0.000036,0,0,0,0,0
138,ISL,0.000008,0.000145,0.000143,0,0,0,0,0
139,ASA,0.000008,0.000026,0.000036,0,0,0,0,0
140,SAM,0.000008,0.000559,0.000036,0,0,0,0,0
141,RWA,0.000008,0.000026,0.000036,0,0,0,0,0
142,DMA,0.000776,0.000005,0.00039,0,0,0,0,0
143,HAI,0.000008,0.000026,0.000036,0,0,0,0,0
144,MLT,0.000008,0.000026,0.000036,0,0,0,0,0
145,CYP,0,0.000521,0.000052,0,0,0,0,0
146,GUI,0.000008,0.000026,0.000036,0,0,0,0,0
147,BIZ,0.000008,0.000026,0.000036,0,0,0,0,0
148,YEM,0.000008,0.000026,0.000036,0,0,0,0,0
149,BER,0.0006,0.000005,0.000069,0,0,0,0,0
150,SLE,0.000008,0.000026,0.000036,0,0,0,0,0
151,PNG,0.000008,0.000026,0.000036,0,0,0,0,0
152,OMA,0.000008,0.000026,0.000036,0,0,0,0,0
153,VAN,0.000008,0.000026,0.000036,0,0,0,0,0
154,MDA,0.00005,0.00023,0.000796,0,0,0,0,0
155,LAT,0.001096,0.000041,0.001113,0,0,0,0,0
156,IVB,0.000008,0.000026,0.000036,0,0,0,0,0
157,MOZ,0.000008,0.000026,0.000036,0,0,0,0,0
158,ISV,0.000008,0.000026,0.000036,0,0,0,0,0
159,CAF,0.000008,0.000026,0.000036,0,0,0,0,0
160,MAD,0.000008,0.000026,0.000036,0,0,0,0,0
161,BIH,0.000008,0.000026,0.000036,0,0,0,0,0
162,GUM,0.000008,0.000026,0.000036,0,0,0,0,0
163,CAY,0.000008,0.000026,0.000036,0,0,0,0,0
164,BAR,0.000008,0.000026,0.000191,0,0,0,0,0
165,GBS,0.000008,0.000026,0.000036,0,0,0,0,0
166,TLS,0.000008,0.000026,0.000036,0,0,0,0,0
167,COD,0.000008,0.000026,0.000036,0,0,0,0,0
168,GAB,0.000008,0.000202,0.000036,0,0,0,0,0
169,SMR,0,0.000611,0.000334,0,0,0,0,0
170,LAO,0.000008,0.000026,0.000036,0,0,0,0,0
171,CAM,0.000008,0.000026,0.000036,0,0,0,0,0
172,PRK,0.000064,0.00095,0.001318,0,0,0,0,0
173,SOL,0.000008,0.000026,0.000036,0,0,0,0,0
174,SEN,0.000008,0.000279,0.000036,0,0,0,0,0
175,GEQ,0.000008,0.000026,0.000036,0,0,0,0,0
176,BOL,0.000008,0.000026,0.000036,0,0,0,0,0
177,ANT,0.000008,0.000026,0.000036,0,0,0,0,0
178,AND,0.000008,0.000026,0.000036,0,0,0,0,0
179,ZIM,0.000008,0.000026,0.000036,0,0,0,0,0
180,HKG,0.001496,0.000391,0.000653,0,0,0,0,0
181,FSM,0.000008,0.000026,0.000036,0,0,0,0,0
182,MYA,0.000008,0.000026,0.000036,0,0,0,0,0
183,MAW,0.000008,0.000026,0.000036,0,0,0,0,0
184,ZAM,0.000481,0.000005,0.00039,0,0,0,0,0
185,STP,0.000008,0.000026,0.000036,0,0,0,0,0
186,MKD,0.000008,0.000351,0.000036,0,0,0,0,0
187,LIE,0.000008,0.000026,0.000036,0,0,0,0,0
188,MNE,0.000008,0.000026,0.000036,0,0,0,0,0
189,GAM,0.000008,0.000026,0.000036,0,0,0,0,0
190,COK,0.000008,0.000026,0.000036,0,0,0,0,0
191,ALB,0.000017,0.001362,0.001504,0,0,0,0,0
192,SWZ,0.000008,0.000026,0.000036,0,0,0,0,0
193,BUR,0.000096,0,0.000262,0,0,0,0,0
194,BDI,0.000008,0.000421,0.000036,0,0,0,0,0
195,ARU,0.000008,0.000026,0.000036,0,0,0,0,0
196,NRU,0.000008,0.000026,0.000036,0,0,0,0,0
197,VIE,0.000239,0.000697,0.000245,0,0,0,0,0
198,BHU,0.000008,0.000026,0.000036,0,0,0,0,0
199,MHL,0.000008,0.000026,0.000036,0,0,0,0,0
200,KIR,0.000008,0.000026,0.000036,0,0,0,0,0
201,TUV,0.000008,0.000026,0.000036,0,0,0,0,0
202,TGA,0.000008,0.000026,0.000036,0,0,0,0,0
203,LES,0.000008,0.000026,0.000036,0,0,0,0,0
